row,column,Similarity_Measure,row_id,row_q,row_topic,row_status,col_id,col_q,col_topic,col_status
2058,123,1,P029793,The number of solutions of the equation \(\sin⁡x=\frac{x}{10}\)  is \(6\) Infinite \(7\) No solution,MTH-11-JEE-03-00,final,P031364,The number of solutions of the equation \(\sin x=\frac{x}{10}\) is \(8\) Infinite \(7\) No solution,MTH-12-JEE-17-00,final
142,125,1,P053464,"If the graph of the function \(f\left(x\right)=\frac{a^x-1}{x^n\left(a^x+1\right)}\) is symmetrical about \(y\)-axis, then \(n\) equals \(2\) \(\frac{2}{3}\) \(\frac{1}{4}\) \(-\frac{1}{3}\)",MTH-12-JEE-17-00,final,P031379,"If the graph of the function \(f\left(x\right)=\frac{a^x-1}{x^n\left(a^x+1\right)}\) is symmetrical about the \(y\)-axis, then \(n\) equals \(2\) \(\frac{2}{3}\) \(4\) \(3\)",MTH-12-JEE-17-00,final
5299,180,1,P033338,"Determine \(a\) and \(b\) if the function defined as\(f\left(x\right)=\begin{cases}\frac{1-\sin^3x}{3\cos^2x}&amp;x&lt;\frac{\pi}{2}\\a&amp;x=\frac{\pi}{2}\\\frac{b\left(1-\sin x\right)}{\left(\pi-2x\right)^2}&amp;x&gt;\frac{\pi}{2}\end{cases}\) is continuous at \(x=\frac π2\) \(a=\frac 12, b=\frac 14\) \(a=\frac 12, b=4\)  \(a=2, b=4\) \(a=1, b=\frac 14\) ",MTH-12-HSC-12-00,final,P008052,"Determine \(a\) and \(b\) if the function defined as\(f\left(x\right)=\begin{cases}\frac{1-\sin^3x}{3\cos^2x}&amp;x&lt;\frac{\pi}{2}\\a&amp;x=\frac{\pi}{2}\\\frac{b\left(1-\sin x\right)}{\left(\pi-2x\right)^2}&amp;x&gt;\frac{\pi}{2}\end{cases}\)is continuous at \(x=\frac π2\) \(a=\frac 12, b=\frac 14\) \(a=\frac 12, b=4\)  \(a=2, b=4\) \(a=1, b=\frac 14\) ",MTH-12-JEE-20-00,final
5300,190,1,P033395,Suppose \(f\) and \(g\) are real valued functions such that \((fog)\) is defined at \(c\). Then \((fog)\) will be continuous at \(c\) if  \(g\) is continuous at \(c\) and \(f\) is continuous at \(c\) \(g\) is continuous at \(c\) and continuity of \(fog\) does not depend on \(f\) \(g\) is continuous at \(c\) and \(f\) is continuous at \(g(c)\) \(f\) is continuous at \(c\) and continuity of \(fog\) does not depend on \(g\),MTH-12-HSC-12-00,final,P008079,Suppose \(f\) and \(g\) are real valued functions such that \((fog)\) is defined at \(c\). Then \((fog)\) will be continuous at \(c\) if  If \(g\) is continuous at \(c\) and if \(f\) is continuous at \(c\) If \(g\) is continuous at \(c\) and continuity of \(fog\) does not depend on \(f\) If \(g\) is continuous at \(c\) and if \(f\) is continuous at \(g(c)\) If \(f\) is continuous at \(c\) and continuity of \(fog\) does not depend on \(g\),MTH-12-JEE-20-00,final
5301,192,1,P033401,"The value of \(f(0)\), so that \(f\left(x\right)=\frac{1}{x^2}\left[1-\cos\left( \sin x\right)\right]\) can be made continuous at \(x=0,\) is \(\frac{1}{2}\) \(2\) \(8\) \(4\)",MTH-12-HSC-12-00,final,P009153,"The value of \(f(0)\), so that \(f\left(x\right)=\frac{1}{x^2}\left[1-\cos\left( \sin x\right)\right]\) can be made continuous at \(x=0,\) is \(\frac{1}{2}\) \(1\) \(\frac{1}{8}\) \(\frac{1}{4}\)",MTH-12-JEE-20-00,final
5362,194,1,P042851,"Let \(f\) and \(g\) be differentiable functions satisfying \(g'(a)=2,  g(a)=b \)  and \(fog=I\) (identity function). Then, \(f'(b) \) is equal to 2 \(\frac{2}{3}\) \(\frac{1}{2}\) \(\frac {3}{2}\)",MTH-12-HSC-13-00,final,P009160,"Let \(f\) and \(g\) be differentiable functions satisfying \(g'(a)=2,  g(a)=b \)  and \(fog=I\) (identity function). Then, \(f'(b) \) is equal to 2 \(\frac{2}{3}\) \(\frac{1}{2}\) \(\frac {3}{2}\)",MTH-12-JEE-20-00,final
5365,195,1,P042854,"If \(8f\left(x\right)+6f\left(\frac{1}{x}\right)=x+5\) and \(y=x^2f\left(x\right)\), then \(\frac{dy}{dx}\) at \(x=-1\), is equal to \(-1\) \(\frac{1}{14}\) \(-\frac{1}{14}\) \(1\)",MTH-12-HSC-13-00,final,P009165,"If \(8f\left(x\right)+6f\left(\frac{1}{x}\right)=x+5\) and \(y=x^2f\left(x\right)\), then \(\frac{dy}{dx}\) at \(x=-1\), is equal to \(-1\) \(\frac{1}{14}\) \(-\frac{1}{14}\) \(1\)",MTH-12-JEE-20-00,final
5302,200,1,P034757,"Which of the following functions have finite number of points of discontinuity in \(R\) (Here, \([\cdot ]\) represents the greatest integer function)? \(\tan x\) \(x[x]\) \(\frac{\left|x\right|}{x}\) \(\sin\left[n\pi x\right]\) where \(n\in N\)",MTH-12-HSC-12-00,final,P020968,"Which of the following functions have finite number of points of discontinuity in \(R\) (Here, \([\cdot ]\) represents the greatest integer function)? \(\tan x\) \(x[x]\) \(\frac{\left|x\right|}{x}\) \(\sin\left[n\pi x\right]\) where \(n\in N\)",MTH-12-JEE-20-00,final
3096,201,1,P022449,The function \(f\left(x\right)=\frac{4-x^2}{4x-x^3}\) is discontinuous at only one point discontinuous at exactly two points discontinuous at exactly three points none of the these,MTH-12-CBS-05-00,final,P020970,The function \(f\left(x\right)=\frac{4-x^2}{4x-x^3}\) is discontinuous at only one point discontinuous exactly at two points \(x\) discontinuous exactly at three points none of these,MTH-12-JEE-20-00,draft
5295,201,1,P033016,The function \(f\left(x\right)=\frac{4-x^2}{4x-x^3}\) is discontinuous at only one point discontinuous exactly at two points discontinuous exactly at three points None of these,MTH-12-HSC-12-00,to_be_reviewed,P020970,The function \(f\left(x\right)=\frac{4-x^2}{4x-x^3}\) is discontinuous at only one point discontinuous exactly at two points \(x\) discontinuous exactly at three points none of these,MTH-12-JEE-20-00,draft
5264,202,1,P027753,"If \(f\left(x\right)=\frac{\tan\left(\frac{\pi}{4}-x\right)}{\cot2x},\:x\ne\frac{\pi}{4},\) is continuous in \(\left(0,\:\frac{\pi}{2}\right)\), then \(f\)\(\left(\frac{\pi}{4}\right)\) is equal to \(1\) \(-1\) \(\frac{1}{2}\) \(2\)",MTH-12-HSC-12-00,draft,P020972,"If \(f\left(x\right)=\frac{\tan\left(\frac{\pi}{4}-x\right)}{\cot2x},\left(x\ne\frac{\pi}{4}\right),\) is continuous at \(x=\frac{\pi}{4}\), then the value of \(f\left(\frac{\pi}{4}\right)\) is \(1\) \(\frac{1}{2}\) \(\frac{1}{3}\) \(-1\)",MTH-12-JEE-20-00,final
5366,224,1,P042855,The derivative of \(\tan^{-1}\left(\frac{\sqrt{1+x^2}-1}{x}\right)\) with respect to \(\tan^{-1}\left(\frac{2x\sqrt{1-x^2}}{1-2x^2}\right)\) at \(x=0\) is \(\frac{1}{8}\) \(\frac{1}{4}\) \(\frac{1}{2}\) \(1\),MTH-12-HSC-13-00,final,P021042,The derivative of \(\tan^{-1}\left(\frac{\sqrt{1+x^2}-1}{x}\right)\) with respect to \(\tan^{-1}\left(\frac{2x\sqrt{1-x^2}}{1-2x^2}\right)\) at \(x=0\) is \(\frac{1}{8}\) \(\frac{1}{4}\) \(\frac{1}{2}\) \(1\),MTH-12-JEE-20-00,final
5363,239,1,P042852,"Assertion (A) : Let \(f:\left[0,\infty\right)\to\left[0,\infty\right),\) be a function defined by \(y=f\left(x\right)=x^2,\) then \(\left(\frac{d^2y}{dx^2}\right)\left(\frac{d^2x}{dy^2}\right)=1\)Reason (R) : \(\left(\frac{dy}{dx}\right)\left(\frac{dx}{dy}\right)=1\) Both the statements are true and R explains A Both the statements are true but R does not explain A Statement 1 (Assertion) is true but Statement 2 (Reason) is false Statement 1 (Assertion) is false but Statement 2 (Reason) is true",MTH-12-HSC-13-00,final,P025528,"Assertion (A) : Let \(f:\left[0,\infty\right)\to\left[0,\infty\right),\) be a function defined by \(y=f\left(x\right)=x^2,\) then \(\left(\frac{d^2y}{dx^2}\right)\left(\frac{d^2x}{dy^2}\right)=1\)Reason (R) : \(\left(\frac{dy}{dx}\right)\left(\frac{dx}{dy}\right)=1\) Both the statements are true and R explains A Both the statements are true but R does not explain A Statement 1 (Assertion) is true but Statement 2 (Reason) is false Statement 1 (Assertion) is false but Statement 2 (Reason) is true",MTH-12-JEE-20-00,final
5361,245,1,P042850,"Let \(f\left(x+y\right)=f\left(x\right)f\left(y\right)\text{ and }f\left(x\right)=1+xg\left(x\right)\:G\left(x\right)\), where \(\lim\limits_{x\to0}g\left(x\right)=a\text{ and }\)\(\lim\limits_{x\to0}G\left(x\right)=b\). Then \(f'\left(x\right)\) is equal to \(1+ab\) \(ab\) \(\frac ab\) None of these",MTH-12-HSC-13-00,final,P026599,"Let \(f\left(x+y\right)=f\left(x\right)f\left(y\right)\text{ and }f\left(x\right)=1+xg\left(x\right)\:G\left(x\right)\), where \(\lim\limits_{x\to0}g\left(x\right)=a\text{ and }\)\(\lim\limits_{x\to0}G\left(x\right)=b\). Then \(f'\left(x\right)\) is equal to \(1+ab\) \(ab\) \(\frac ab\) None of these",MTH-12-JEE-20-00,final
5364,246,1,P042853,"If for \(x\in\left(0,\frac{1}{4}\right),\) the derivative of \(\tan^{-1}\left(\frac{6x\sqrt{x}}{1-9x^3}\right)\) is \(\sqrt{x}\cdot g\left(x\right),\) then \(g\left(x\right)\) equals : \(\frac{3x\sqrt{x}}{1-9x^3}\) \(\frac{3x}{1-9x^3}\) \(\frac{3}{1+9x^3}\) \(\frac{9}{1+9x^3}\)",MTH-12-HSC-13-00,final,P026754,"If for \(x\in\left(0,\frac{1}{4}\right),\) the derivative of \(\tan^{-1}\left(\frac{6x\sqrt{x}}{1-9x^3}\right)\) is \(\sqrt{x}\cdot g\left(x\right),\) then \(g\left(x\right)\) equals : \(\frac{3x\sqrt{x}}{1-9x^3}\) \(\frac{3x}{1-9x^3}\) \(\frac{3}{1+9x^3}\) \(\frac{9}{1+9x^3}\)",MTH-12-JEE-20-00,final
348,328,1,P056553,"Let \(A=\{1,2,3,4\}\) and \(R\) be a relation in \(A\) given by \(R=\{(1,1), (2,2), (3,3), (4,4), (1,2), (3,1), (1,3)\}.\) Then \(R\) is: Reflexive and transitive only Transitive and symmetric only equivalence reflexive only",MTH-12-JEE-50-00,final,P056521,"Let \(A=\{1,2,3,4\}\) and \(R\) be a relation in \(A\) given by\(R=\left\{\left(1,1\right),\left(2,2\right),\left(3,3\right),\left(4,4\right),\left(1,2\right),\left(3,1\right),\left(1,3\right)\right\}.\) Then \(R\) is reflexive and transitive only transitive and symmetric only equivalence reflexive only",MTH-12-JEE-50-00,final
351,330,1,P056558,"Range of the function \(f(x)=(\sin^{-1}x)^2+(\cos^{-1}x)^2\) is \(\left[\frac{\pi^2}8,\;\frac{5\pi^2}4\right]\) \(\left[\frac{\pi^2}8,\;\frac{3\pi^2}4\right]\) \(\left[\frac{\pi^2}8,\;\frac{\pi^2}2\right]\) None of these",MTH-12-JEE-50-00,final,P056523,"Range of the function \(f\left(x\right)=\left(\sin^{-1}x\right)^2+\left(\cos^{-1}x\right)^2\) is \(\left[\frac{\pi^2}{8},\frac{5\pi^2}{4}\right]\) \(\left[\frac{\pi^2}{8},\frac{3\pi^2}{4}\right]\) \(\left[\frac{\pi^2}{8},\frac{\pi^2}{2}\right]\) None of these",MTH-12-JEE-50-00,final
363,333,1,P056848,\(\lim\limits_{x\rightarrow3}([x-3]+[3-x]-x)\) where \([\cdot]\)  denotes the greatest integer function is equal to- \(4\) \(-4\) \(0\) does not exist,MTH-12-JEE-50-00,final,P056528,\(\lim\limits_{x\to3}\left(\left[x-3\right]+\left[3-x\right]-x\right)\) where \([\cdot ]\) denotes the greatest integer function is equal to \(4\) \(-4\) \(0\) does not exist,MTH-12-JEE-50-00,final
2484,426,1,P005043,The largest value of \(r\) for which the region represented by the set \(\left\{\omega\in C: \left|\omega-4-i\right|\le r\right\}\) is contained in the region represented by the set \(\left\{z\in C:\left|z-1\right|\le\left|z+i\right|\right\}\) is equal to \(\sqrt{17}\) \(2\sqrt{2}\) \(\frac{3}{2}\sqrt{2}\) \(\frac{5}{2}\sqrt{2}\),MTH-11-JEE-07-00,final,P057150,"The largest value of \(r\)  for which the region represented by the set \(\left\{\omega\:\in C/\left|\omega-4-i\right|\le r\right\}\) is contained in the region represented by the set \(\left\{z\in C/\left|z-1\right|\le\left|z+i\right|\right\},\) is equal to: \(\sqrt {17}\) \(2\sqrt{2}\) \(\frac{3}{2}\sqrt{2}\) \(\frac{5}{2}\sqrt{2}\)",MTH-12-JEE-50-00,final
2485,427,1,P005045,"If \(2+3i\) is one of the roots of the equation \(2x^3-9x^2+kx-13=0,k\in R,\) then the real root of this equation does not exist exists and is equal to \(\frac{1}{2}\) exists and is equal to \(-\frac{1}{2}\) exists and is equal to \(1\)",MTH-11-JEE-07-00,final,P057151,"If \(2+3i\) is one of the roots of the equation \(2x^3-9x^2+kx-13=0,\:k\in R\), then the real root of this equation: does not exist. exists and is equal to \(\frac{1}{2}.\) exists and is equal to \(-\frac{1}{2}.\) exists and is equal to \(1.\)",MTH-12-JEE-50-00,final
1253,431,1,P005047,"Let the sum of the first three terms of an A.P. be \(39\) and the sum of its last four terms be \(178\).  If the first term of this A.P. is \(10\), then the median of the A.P. is \(26.5\) \(28\) \(29.5\) \(31\)",MTH-11-JEE-10-00,final,P057155,"Let the sum of the first three terms of an A.P. be \(39\)  and the sum of its last four terms be \(178\). If the first term of this A.P. is \(10,\) then the median of the A.P. is: \(26.5\) \(28\) \(29.5\) \(31\)",MTH-12-JEE-50-00,final
1254,433,1,P005065,The value of \(\sum\limits^{30}_{r=16}\left(r+2\right)\left(r-3\right)\) is equal to: \(7785\) \(7780\) \(7775\) \(7770\),MTH-11-JEE-10-00,final,P057157,The value of \(\sum\limits^{30}_{r=16}\left(r+2\right)\left(r-3\right)\) is equal to: \(7785\) \(7780\) \(7775\) \(7770\),MTH-12-JEE-50-00,final
457,435,1,P005074,"The distance, from the origin, of the normal to the curve, \(x=2 \cos t +2t \sin t;   y=2\sin t-2t\cos t\) at \(t=\frac \pi 4\), is \(4\) \(2\sqrt 2\) \(2\) \(\sqrt{2}\)",MTH-12-JEE-21-00,final,P057159,"The distance, from the origin, of the normal to the curve, \(x=2\:\cos t+2t\:\sin t,y=2\:\sin t-2t\:\cos t\) at \(t=\frac{\pi}{4}\), is \(4\) \(2\sqrt{2}\) \(2\) \(\sqrt 2\)",MTH-12-JEE-50-00,final
569,438,1,P005084,The integral \(\int\frac{dx}{\left(x+1\right)^{\frac{3}{4}}\left(x-2\right)^{\frac{5}{4}}}\) is equal to: \(4\left(\frac{x+1}{x-2}\right)^{\frac{1}{4}}+C\) \(4\left(\frac{x-2}{x+1}\right)^{\frac{1}{4}}+C\) \(-\frac{4}{3}\left(\frac{x+1}{x-2}\right)^{\frac{1}{4}}+C\) \(-\frac{4}{3}\left(\frac{x-2}{x+1}\right)^{\frac{1}{4}}+C\),MTH-12-JEE-22-00,final,P057162,The integral \(\int\frac{dx}{\left(x+1\right)^{\frac{3}{4}}\left(x-2\right)^{\frac{5}{4}}}\) is equal to: \(4\left(\frac{x+1}{x-2}\right)^{\frac{1}{4}}+C\) \(4\left(\frac{x-2}{x+1}\right)^{\frac{1}{4}}+C\) \(-\frac{4}{3}\left(\frac{x+1}{x-2}\right)^{\frac{1}{4}}+C\) \(-\frac{4}{3}\left(\frac{x-2}{x+1}\right)^{\frac{1}{4}}+C\),MTH-12-JEE-50-00,final
634,440,1,P005127,"The area (in square units) of the region bounded by the curves \(y+2x^2 =0\) and \(y+3x^2 =1\), is equal to: \(\frac{3}{5}\) \(\frac{3}{4}\) \(\frac{1}{3}\) \(\frac{4}{3}\)",MTH-12-JEE-23-00,final,P057164,"The area (in square units) of the region bounded by the curves \(y+2x^2=0\) and \(y+3x^2=1,\) is equal to: \(\frac{3}{5}\) \(\frac{3}{4}\) \(\frac{1}{3}\) \(\frac{4}{3}\)",MTH-12-JEE-50-00,final
771,441,1,P005128,"If \(y(x)\) is the solution of the differential equation \(\left(x+2\right)\frac{dy}{dx}=x^2+4x-9,x\ne-2\) and \(y(0)=0\), then \(y(-4)\) is equal to \(0\) \(1\) \(-1\) \(2\)",MTH-12-JEE-24-00,final,P057165,"If \(y(x)\) is the solution of the differential equation \(\left(x+2\right)\frac{dy}{dx}=x^2+4x-9,x\ne-2\) and \(y\left(0\right)=0,\) then \(y\left(-4\right)\) is equal to: \(0\) \(1\) \(-1\) \(2\)",MTH-12-JEE-50-00,final
1357,442,1,P005129,"The points \(\left(0,\frac{8}{3}\right),\left(1,3\right)\) and \(\left(82,30\right)\) form an obtuse angled triangle form an acute angled triangle form a right angled triangle lie on a straight line.",MTH-11-JEE-13-00,final,P057166,"The points \(\left(0,\frac{\:8}{3}\right),\left(1,\:3\right)\) and \(\left(82,\:30\right):\) form an obtuse angled triangle. form an acute angled triangle. form a right angled triangle. lie on a straight line.",MTH-12-JEE-50-00,final
1358,443,1,P005130,"Let \(L\) be the line passing through the point \(P(1,2)\) such that its intercepted segment between the co-ordinate axes is bisected at \(P\). If \(L_1\) is the line perpendicular to \(L\) and passing through the point \((-2, 1)\), then the point of intersection of \(L\) and \(L_1\) is \(\left(\frac{4}{5},\frac{12}{5}\right)\) \(\left(\frac{11}{20},\frac{29}{10}\right)\) \(\left(\frac{3}{10},\frac{17}{5}\right)\) \(\left(\frac{3}{5},\frac{23}{10}\right)\)",MTH-11-JEE-13-00,final,P057167,"Let \(L\)  be the line passing through the point \(P(1,\:2)\)  such that its intercepted segment between the co-ordinate axes is bisected at \(P\).  If \(L_1\)  is the line perpendicular to \(L\) and passing through the point \((-2,\;1)\), then the point of intersection of \(L\)  and \(L_1\)  is : \(\left(\frac{4}{5},\frac{\:12}{5}\right)\) \(\left(\frac{11}{20},\frac{\:29}{10}\right)\) \(\left(\frac{3}{10},\frac{\:17}{5}\right)\) \(\left(\frac{3}{5},\frac{\:23}{10}\right)\)",MTH-12-JEE-50-00,final
1359,444,1,P005131,"If \(y+3x=0\) is the equation of a chord of the circle, \(x^2+y^2-30x=0\), then the equation of the circle with this chord as diameter is: \(x^2+y^2+3x+9y=0\) \(x^2+y^2-3x+9y=0\) \(x^2+y^2-3x-9y=0\) \(x^2+y^2+3x-9y=0\)",MTH-11-JEE-13-00,final,P057168,"If \(y+3x=0\) is the equation of a chord of the circle, \(x^2+y^2-30x=0,\) then the equation of the circle with this chord as diameter is: \(x^2+y^2+3x+9y=0\) \(x^2+y^2-3x+9y=0\) \(x^2+y^2-3x-9y=0\) \(x^2+y^2+3x-9y=0\)",MTH-12-JEE-50-00,final
1654,446,1,P005133,"An ellipse passes through the foci of the hyperbola, \(9x^2-4y^2=36\) and its major and minor axes lie along the transverse and conjugate axes of the hyperbola respectively. If the product of eccentricities of the two conics is \(\frac{1}{2}\), then which of the following points does not lie on the ellipse? \(\left(\sqrt{13},0\right)\) \(\left(\frac{\sqrt{39}}{2},\sqrt{3}\right)\) \(\left(\frac{1}{2}\sqrt{13},\frac{\sqrt{3}}{2}\right)\) \(\left(\sqrt{\frac{13}{2}},\sqrt{6}\right)\)",MTH-11-JEE-14-00,final,P057170,"An ellipse passes through the foci of the hyperbola, \(9x^2-4y^2=36\) and its major and minor axes lie along the transverse and conjugate axes of the hyperbola respectively. If the product of eccentricities of the two conics is \(\frac{1}{2}\), then which of the following points does not lie on the ellipse? \(\left(\sqrt{13},\:0\right)\) \(\left(\frac{\sqrt{39}}{2},\:\sqrt{3}\right)\) \(\left(\frac{1}{2}\sqrt{13},\:\frac{\sqrt{3}}{2}\right)\) \(\left(\sqrt{\frac{13}{2}},\:\sqrt{6}\right)\)",MTH-12-JEE-50-00,final
952,447,1,P005135,"If the points \((1,1,\lambda)\) and \((-3,0,1)\) are equidistant from the plane, \(3x+4y-12z+13=0\), then \(\lambda\) satisfies the equation \(3x^2-10x+7=0\) \(3x^2+10x+7=0\) \(3x^2+10x-13=0\) \(3x^2-10x+21=0\)",MTH-12-JEE-26-00,final,P057171,"If the points \((1,\:1,\:\lambda)\) and \(\left(-3,\:0,\:1\right)\) are equidistant from the plane, \(3x+4y-12z+13=0\), then \(\lambda\) satisfies the equation: \(3x^2-10x+7=0\) \(3x^2+10x+7=0\) \(3x^2+10x-13=0\) \(3x^2-10x+21=0\)",MTH-12-JEE-50-00,final
951,448,1,P005134,"If the shortest distance between the lines \(\frac{x-1}{\alpha}=\frac{y+1}{-1}=\frac{z}{1},\left(\alpha\ne-1\right)\) and \(x+y+z+1=0=2x-y+z+3\) is \(\frac{1}{\sqrt{3}}\), then the value of \(\alpha\) is \(-\frac{16}{19}\) \(-\frac{19}{16}\) \(\frac{32}{19}\) \(\frac{19}{32}\)",MTH-12-JEE-26-00,final,P057172,"If the shortest distance between the lines \(\frac{x-1}{\alpha}=\frac{y+1}{-1}=\frac{z}{1},\:\left(\alpha\ne-1\right)\) and \(x+y+z+1=0=2x-y+z+3\) is \(\frac{1}{\sqrt 3}\), then a value of \(\alpha\) is: \(-\frac{16}{19}\) \(-\frac{19}{16}\) \(\frac{32}{19}\) \(\frac{19}{32}\)",MTH-12-JEE-50-00,final
5378,524,1,P040696,"The normal to the curve, \(x^2+2xy-3y^2=0\) at \((1, 1)\) does not meet the curve again. meets the curve again in the second quadrant. meets the curve again in the third quadrant. meets the curve again in the fourth quadrant.",MTH-12-HSC-14-00,final,P044790,"The normal to the curve, \(x^2+2xy-3y^2=0\), at \((1, 1)\) : does not meet the curve again. meets the curve again in the second quadrant. meets the curve again in the third quadrant. meets the curve again in the fourth quadrant.",MTH-12-JEE-21-00,final
